,City,Latitude,Longitude,Temperature (F),Humididity (%),Cloudiness (%),Wind Speed (mph)
0,qaanaaq,77.484,-69.3632,-15.18,66,0,8.86
1,grindavik,63.8424,-22.4338,28.4,69,0,18.41
2,pravia,43.4906,-6.1508,51.62,100,0,5.75
3,hilo,19.7297,-155.09,69.66,78,90,4.61
4,guerrero negro,27.9769,-114.0611,58.93,59,100,12.86
5,obama,35.4958,135.746,44.91,79,95,3
6,atuona,-9.8,-139.0333,78.76,78,1,15.26
7,yar-sale,66.8333,70.8333,-31.27,84,100,8.32
8,sabha,27.0377,14.4283,43.11,59,0,4.72
9,albany,42.6001,-73.9662,27.81,61,99,1.01
10,bluff,-46.6,168.3333,55.0,65,92,18.99
11,mahebourg,-20.4081,57.7,73.4,88,20,3.44
12,pozo colorado,-23.4923,-58.7972,75.81,86,0,5.68
13,cidreira,-30.1811,-50.2056,73.6,92,73,7.76
15,hermanus,-34.4187,19.2345,54.0,92,6,7.27
16,puerto ayora,-0.7393,-90.3518,78.01,92,32,3
18,thompson,55.7435,-97.8558,-20.2,76,20,1.77
19,ushuaia,-54.8,-68.3,41.0,87,75,13.8
20,haradok,55.4624,29.9816,31.06,99,100,2.37
21,lotofaga,-13.9764,-171.8578,78.8,100,90,11.5
22,vaini,-21.2,-175.2,73.4,100,90,4.61
23,meulaboh,4.1363,96.1285,79.61,73,100,4.14
24,rikitea,-23.1203,-134.9692,79.56,73,100,10.38
25,inhambane,-23.865,35.3833,78.55,89,60,6.53
26,ponta do sol,32.6667,-17.1,56.55,78,57,1.99
27,purpe,64.4803,76.6897,-39.84,79,100,3.98
28,olafsvik,64.8945,-23.7142,29.57,85,44,11.34
29,berlevag,70.8578,29.0864,24.4,92,100,20.15
30,sovetskiy,61.3614,63.5842,16.5,97,100,8.5
31,oparino,59.8518,48.2783,27.72,96,100,7.61
32,esperance,-33.8667,121.9,68.0,68,75,9.22
33,asau,46.4333,26.4,33.35,60,75,24.16
34,moengo,5.6167,-54.4,72.19,90,96,2.62
35,mikkeli,61.6886,27.2723,30.92,100,90,1.14
36,khatanga,71.9667,102.5,-31.72,80,0,6.78
37,kandrian,-6.2167,149.55,86.52,72,100,8.75
38,anito,12.4497,125.2886,79.18,88,100,12.35
39,nanortalik,60.1432,-45.2371,25.0,94,100,5.35
40,saint-philippe,-21.3585,55.7679,73.81,61,0,8.05
41,punta arenas,-53.15,-70.9167,42.39,87,90,9.22
42,kaitangata,-46.2817,169.8464,51.01,78,91,21
43,dikson,73.5069,80.5464,-25.06,85,100,10.51
44,bubaque,11.2833,-15.8333,77.77,65,0,8.9
46,coihaique,-45.5752,-72.0662,51.8,66,0,6.91
47,port alfred,-33.5906,26.891,60.01,89,28,1.99
48,cherskiy,68.75,161.3,-24.16,86,100,5.39
49,buala,-8.145,159.5921,84.67,77,91,14.79
50,itarema,-2.9248,-39.9167,79.41,79,33,11.9
51,tasiilaq,65.6145,-37.6368,21.2,42,75,26.46
52,mataura,-46.1927,168.8643,55.0,65,93,18.99
53,soyo,-6.1349,12.3689,79.36,81,100,1.88
54,hamilton,39.1834,-84.5333,26.69,93,90,14.97
55,torbay,47.6666,-52.7314,25.48,86,90,5.75
56,jurm,36.8648,70.8342,19.26,55,0,6.62
57,saskylakh,71.9167,114.0833,-41.51,80,99,3.06
58,avera,33.194,-82.5271,55.26,94,90,6.91
59,jamestown,42.097,-79.2353,20.98,86,90,3.74
60,kawalu,-7.3817,108.2082,82.51,67,96,0.54
61,kodiak,57.79,-152.4072,33.8,75,90,5.75
62,atar,20.5169,-13.0499,66.96,23,0,9.55
63,coos bay,43.3665,-124.2179,41.99,95,50,1.01
65,missungwi,-2.85,33.0833,63.86,89,0,4.68
66,yulara,-25.2406,130.9889,82.4,51,75,17.27
67,dingle,10.9995,122.6711,80.96,81,100,13.56
68,cape town,-33.9258,18.4232,62.94,77,0,11.5
69,pisco,-13.7,-76.2167,70.92,68,0,4.61
70,new norfolk,-42.7826,147.0587,65.32,39,0,1.99
71,airai,-8.9266,125.4092,66.24,100,100,4.88
72,isla mujeres,21.2311,-86.731,78.67,83,75,4.61
73,dubbo,-32.25,148.6167,84.2,45,90,19.57
74,carnarvon,-24.8667,113.6333,78.8,50,0,18.41
75,nizhniy lomov,53.5304,43.6766,27.55,97,100,15.39
76,butaritari,3.0707,172.7902,80.85,79,100,16.96
77,esmeraldas,-19.7625,-44.3139,72.81,56,0,8.05
78,chuy,-33.6971,-53.4616,67.12,87,11,7.11
79,madang,-5.2246,145.7966,77.11,92,100,4.68
80,lodja,-3.4833,23.4333,67.98,98,100,2.01
81,semirom,31.4167,51.5667,33.53,68,100,2.77
82,tiksi,71.6872,128.8694,-35.79,79,100,2.08
83,necochea,-38.5473,-58.7368,64.0,69,61,10.13
84,hovd,48.0056,91.6419,2.25,82,0,1.07
85,alice springs,-23.7,133.8833,88.2,48,75,6.91
86,kapaa,22.0752,-159.319,75.09,88,75,20.71
87,barrow,71.2906,-156.7887,-7.6,71,90,3.44
88,vila franca do campo,37.7167,-25.4333,60.91,94,75,14.97
89,tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,2.3
91,busselton,-33.65,115.3333,70.0,56,43,5.01
92,hami,42.8,93.45,19.22,82,0,2.19
93,hobyo,5.3505,48.5268,76.01,72,90,19.82
94,provideniya,64.3833,-173.3,10.4,85,90,35.79
95,mtambile,-5.3833,39.7,79.41,81,95,10.07
96,sinjai,-5.1241,120.253,85.21,67,100,4.07
97,maba,24.6841,113.5984,56.57,54,36,6.08
99,mehamn,71.0357,27.8492,23.65,92,100,18.52
100,haapiti,-17.5667,-149.8667,87.8,62,75,13.8
101,dom pedrito,-30.9828,-54.6731,67.17,87,0,4.41
102,hithadhoo,-0.6,73.0833,81.77,78,98,15.66
103,ostrovnoy,68.0531,39.5131,11.5,94,100,20.71
104,brae,60.3964,-1.353,32.0,80,63,8.05
106,hobart,-42.8794,147.3294,64.98,45,75,10.36
107,lompoc,34.6391,-120.4579,50.16,82,90,18.41
108,jimo,36.3897,120.4622,34.83,27,0,17.9
109,roma,43.2128,-75.4557,21.94,86,90,3.44
110,saint george,37.1041,-113.5841,42.91,49,90,9.22
111,port hardy,50.6996,-127.4199,39.9,81,90,17.27
112,nikolskoye,59.7035,30.7861,31.87,93,90,3.76
113,broken hill,-31.95,141.4333,78.8,25,100,14.97
114,bredasdorp,-34.5322,20.0403,48.2,87,5,2.37
115,mar del plata,-38.0023,-57.5575,65.89,68,0,6.91
116,skibbereen,51.55,-9.2667,51.8,93,75,18.41
118,port-gentil,-0.7193,8.7815,79.3,79,100,4.14
119,kruisfontein,-34.0033,24.7314,57.99,91,46,1.01
120,hambantota,6.1241,81.1185,71.6,100,40,2.3
121,yellowknife,62.456,-114.3525,-10.7,77,90,4.61
123,bukama,-9.2,25.85,66.38,94,87,2.66
124,guider,9.9342,13.9486,73.18,18,3,8.84
125,barranca,-10.75,-77.7667,69.84,87,100,6.67
126,los llanos de aridane,28.6585,-17.9182,63.46,88,20,8.05
127,challapata,-18.9,-66.7667,49.44,47,0,7.05
128,pevek,69.7008,170.3133,-21.55,88,100,4.65
129,beli manastir,45.77,18.6036,30.2,93,0,6.91
130,codrington,-38.2667,141.9667,78.49,52,99,13.82
131,belem de sao francisco,-8.7539,-38.9658,76.33,68,89,18.75
132,umm lajj,25.0213,37.2685,70.0,78,3,3.27
133,bethel,41.3712,-73.414,28.31,79,3,1.01
134,chokurdakh,70.6333,147.9167,-14.35,90,100,10.56
135,mattru,7.6244,-11.8332,73.76,93,0,1.74
136,san vicente,-26.6167,-54.1333,68.05,99,100,4.92
137,general roca,-39.0333,-67.5833,69.8,35,0,14.97
138,tambura,5.6,27.4667,73.53,41,0,2.3
139,fort nelson,58.8053,-122.7002,-11.2,77,40,2.3
140,nalut,30.3333,10.85,43.14,58,0,2.48
141,hasaki,35.7333,140.8333,46.09,66,75,17.27
142,wajid,3.8093,43.2471,71.19,80,0,19.39
143,ribeira grande,38.5167,-28.7,61.12,81,25,21
144,auki,-8.7676,160.7034,84.38,74,100,11.72
145,talas,38.6908,35.5538,39.2,75,75,10.36
146,zamora,-4.0692,-78.9567,66.78,73,44,1.28
147,alyangula,-13.8483,136.4192,84.2,79,48,9.22
148,sao filipe,14.8961,-24.4956,73.04,69,0,5.1
149,bonavista,48.6499,-53.1147,24.87,93,82,3.44
150,abu dhabi,24.4667,54.3667,60.8,94,0,9.73
151,ibra,22.6906,58.5334,54.81,68,0,3.18
152,avarua,-21.2078,-159.775,87.8,62,55,14.97
153,iquitos,-3.7481,-73.2472,77.0,94,75,2.3
154,tuatapere,-46.1333,167.6833,54.0,67,100,17
155,emerald,-23.5333,148.1667,89.78,43,75,16.11
156,wattegama,6.7989,81.4808,71.6,100,40,2.3
157,san patricio,28.017,-97.5169,61.84,36,90,10.36
158,baghdad,33.3406,44.4009,60.8,33,0,20.71
159,cabo san lucas,22.8909,-109.9124,65.19,72,1,3.44
160,himare,40.1017,19.7447,40.23,39,23,5.99
161,korgen,66.0771,13.8153,14.0,85,90,13.8
